Video ID,Comment,Published At
x9teM7gbizk,"이 영상은 인류가 6번째 대멸종 시대를 맞이하고 있으며, 환경오염과 플라스틱 쓰레기가 큰 문제로 대두되고 있음을 설명합니다. 쓰레기의 양이 급증하고 환경 파괴가 계속되고 있다는 전문가들의 말이 인상적이었으며, 쓰레기의 재활용과 해결에 대한 노력이 시급하다고 생각했습니다.",2023-08-01T17:22:43Z
x9teM7gbizk,아... 한국산 쓰레기 진짜 생명들한테 미안하다.. 앞으로 생수 안먹고 정수기쓰고.. 배달도 자제하겠습니다ㅠ,2023-07-13T16:17:45Z
x9teM7gbizk,여기다 쓰고 내일 쓰레기버리는인간들,2023-05-16T16:29:05Z
x9teM7gbizk,"우리가 과연 플라스틱. 비닐을 포기할 수 있을까? 자본주의가 좋은 거지만 자연환경 입장은 배제한 채 오로지 <br>경제성장만을 외치는 사회구조. 잘 살면 살수록 못사는 나라가 생기는 이상한 제국주의 행태들...이건, 한 개인의 문제가 아니다.<br>인류세에서...어떤 시스템으로 바뀌어야 지속가능한 미래세대를 만들 수 있을까?<a href=""about:invalid#zCSafez""></a>",2023-05-06T21:35:03Z
x9teM7gbizk,"참 좋은 환경 운동 영상을 잘 보았습니다. 환경 운동은 결코 말로만 해서 되는 게 아니겠지요. 우리 모두가 환경 살리기 의식을 갖추고 행동으로 실천해야 하는 것입니다. 특히, 지구에 닥친 기후 위기는 우리 인류가 직면한 지구의 현재 위협입니다. 우리는 이산화탄소 등 온실가스 배출을 줄여야 합니다. 유엔이 탄소배출권거래제를 점차 강화하여 탄소 중립 문제를 해결하고자 노력하고 있지요. 또한, 날마다 불타고 있는 지구의 허파 아마존 숲을 보호해야 합니다. 다행히, 유엔에서 REDD+ 프로젝트를 추진하여 아마존 열대 우림을 보존, 보호하고 황폐화를 방지하고 있습니다. 아마존 숲을 보호하고 나온 탄소배출권은 우리나라 숲의 10~15배이죠. 다행히, 최근 유엔의 REDD+프로젝트가 적용된(3~4년 소요) 아마존 토지를 페루 정부로부터 40년 간의 소유권을 사와서 유엔으로부터 탄소배출권을 인정받아 유럽 시장에 내다 팔아 큰 수익을 올리면서, 아마존 숲 사랑과 연 15% 수익 그리고 NFT 등록으로 큰 차익을 기대할 수 있는 투자 상품읗 개발하여 투자자 유치와 기후 위기 캠페인을 동시에 추진하는 기업이 있습니다. 기후 위기 극복 캠페인에 동참하면서 많은 수익도 올리고 싶은 분은 &#39;페루 아마존 숲 탄소배출권 NFT&#39; 상품에 투자해보시길 권해드립니다.  세부 내용은 &#39;지구남TV&#39; 유튜브를 참조해주시길 바랍니다. 감사합니다.",2023-01-18T04:06:41Z
x9teM7gbizk,인간이  없어저도<br>남아있을 석유화학 제품들<br>생각 또 생각해야 할것들,2022-09-16T11:21:15Z
x9teM7gbizk,"진작부터 환원적 사고방식에서 벗어났어야 하는데 재활용이라는 허울때문에 더 많은 쓰레기들이 무차별적으로 쏟아져 나오게 된거죠. 재활용은 의식수준, 재활용기술, 여타 변수들을 고려할 때 결코 환경에 좋을 수가 없습니다. 재활용이 아니라 버려도 문제가 없는 제품에 더 투자하고 더 크게 키워서 유지가능한 현실적인 비용으로 만들었어야 합니다. 이젠 정말 늦어버린것 같지만 말이죠",2022-08-05T08:46:27Z
x9teM7gbizk,"음식배달  없애야  합니다.<br>배달에  사용되는  <br>플라스틱용기,  비닐봉지,<br>일회용 커피 등<br>우리는  매일매일 <br>환경파괴의  주버이<br>됩니다.",2022-08-02T14:56:30Z
x9teM7gbizk,아니 좀 큰 나라들부터 실행에 옮기지??<br>미국 중국 인도 러시아 브라질 호주 같은 나라는 분리수거는 커녕 걍 막 섞어 버리드만<br>얘네들만이라도 분리수거 잘하고 잘 버리면 지구의 60% 살아나겠다,2022-08-01T10:43:38Z
x9teM7gbizk,지질시대 플라스틱세,2022-07-31T09:42:40Z
x9teM7gbizk,절대 재활용의 필요성,2022-07-30T22:20:55Z
x9teM7gbizk,생산 분배 소비가 조화를,2022-07-30T22:20:04Z
x9teM7gbizk,많은곳은 많습니다.,2022-07-30T22:18:13Z
x9teM7gbizk,지구의 생명체의 생존을 위한  가장 좋은 방법은 인간 멸종,2022-07-28T14:26:21Z
x9teM7gbizk,"지구촌 가장 어리석은 동물은 인간들이다. <br>정신차려야한다. <br>현재의 석유를 무분별하게 사용해서 이룩한 환경파괴적인 소비경제는 없어져야 한다.<br>성경에 예수님이 말하길. <br>부자가 천국에 가기는 낙타가 바늘귀를 통과하는 것보다 어렵다고 했다. <br>즉, 부자가 없는 세상을 만들어야 한다. <br>인구감소 정책과 친환경 최우선적인 새로운 공유경제 시스템을 만들어서 시행해야한다.",2022-07-28T12:37:41Z
x9teM7gbizk,"요줌 플라스틱 쓰레기로 기름만들잔아요 건데 기름만들고 남는 잔해물은  어더게하는지  ,,?",2022-07-28T12:07:53Z
x9teM7gbizk,중국 미국놈들이 합쳐서 환경파괴 절반이상 한다..,2022-07-28T11:11:30Z
x9teM7gbizk,어선에서 어구 구입시 폐어구 반납 구조로해서 판매하라~<br>조업시 망실어구를 버리니 바다가<br>망가진다 망실어구는 어떤수단을 써서라도 회수해서 귀항하도록 해야한다~환경부담금을 어구대 이상으로 부담시켜야 안전조업을 한다~,2022-07-28T07:45:12Z
LZEq-dZQ9S4,약 먹고  다니세요!,2023-10-26T05:46:32Z
LZEq-dZQ9S4,결국 정부만 제대로 되면 되네,2023-10-25T14:59:48Z
LZEq-dZQ9S4,"국민들의 정신이 건강하다면 찬성이지만,아닌걸 엮어 우긴다면 피해보는 인간 있다.대통령끼리 뭉치시고,우리가족은 대통령과 연관없음.",2023-10-25T01:30:55Z
LZEq-dZQ9S4,노인들이 선거 잘해서 자손들이. 잘살아 ㅜㅜ,2023-10-25T00:26:18Z
LZEq-dZQ9S4,틀려서. 자손이 없어서,2023-10-25T00:25:37Z
LZEq-dZQ9S4,그렇고보면...대한민국 국민 말곤 다 ㅂㅅ 같음. (정치인빼고),2023-10-24T23:02:32Z
LZEq-dZQ9S4,에너지에 대해서는 모든 수단을 강구해야하는 국가임에도 정권이 바뀔때마다 화석연료와 재생에너지 정책이 핑퐁치는 한심한 모습. 양당구조로 인해 투트랙으로 가야함에도 정권바뀔때마다 한쪽정책은 후진기어가 들어간다. ㅅㅂ,2023-10-24T15:44:58Z
LZEq-dZQ9S4,태양광과 풍력이 더 비싼 이유는 더 많은 규모의 경제가 생겨야 하는데 원전과 석탄을 고집하는데 있다 원전카르텔이 이것을 주도 하고 있다 문정부때 태양광을 늘리려고 했지만 원전카르텔에서 언론플레이를 하면서 태양광과 풍력의 비율을 높이지 못하고 있는 실정이다. 왜 저렇게 되었는데 세계에 추세에도 맞지도 않고 인도네시아와 한국만 친환경에너지가 비싼지 알아야 한다,2023-10-24T09:28:52Z
LZEq-dZQ9S4,문재인 재평가,2023-10-24T08:59:23Z
LZEq-dZQ9S4,부좃한건 정치지..개판인 정치,2023-10-24T01:40:34Z
LZEq-dZQ9S4,재생 에너지가 화석 에너지보다 싸지는 경우는 석탄 석유 매장량이 부족해져서 화석 에너지 값이 더 비싸질 때가 될 거다.,2023-10-22T23:11:26Z
LZEq-dZQ9S4,무식한 대통령이 바뀌어야 에너지 전환이 속도를 낼수 있습니다.,2023-10-22T04:25:49Z
LZEq-dZQ9S4,부족한건 단 하나. 국회의원들을 싹다 갈아치우는거다!.,2023-10-21T15:53:36Z
LZEq-dZQ9S4,그냥 핵융합 에너지 개발에 계속 투자하면 되잖아 무슨 신재생 ㅇㅈㄹ하고 앉았네,2023-10-21T04:53:06Z
